DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
110202.998957117                120151349.128214           
DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
110202.998957117                120151349.128214           
111129.8377238419               120151409.1282142          
113767.2354598272               120151581.7098036          
121242.0741722477               120152086.5741839          
130829.3871966204               120152772.0639693          
140706.8488575958               120153530.4823045          
150621.1163156161               120154356.0838753          
160423.9627826482               120155251.2296725          
169956.2953097845               120156218.4665197          
179042.4163447433               120157260.0770261          
187492.2942858823               120158378.4150365          
195099.512574937                120159576.0060198          
201639.8917571166               120160856.1519963          
206806.6148799535               120162205.3873574          
210354.8117155323               120163613.9549416          
212074.7312134021               120165072.6080148          
211792.4620623957               120166566.0136353          
209415.8693343219               120168070.7282369          
204974.2464775951               120169560.2115153          
198601.4873110818               120171012.9099059          
190490.5493852262               120172414.2774462          
180875.3056230666               120173753.2213511          
170161.790990531                120175005.6650123          
158644.6848983354               120176169.8026869          
146598.4925122991               120177245.9585476          
134295.7699108581               120178234.3218826          
122012.2840043373               120179134.7175941          
111342.0596937002               120179860.3999541          
100046.4953835369               120180581.416309           
90423.43074757828               120181163.3943105          
80412.86167800613               120181742.2338823          
71916.78578960382               120182215.55189            
63219.18040320814               120182686.0374183          
55045.35027853775               120183117.9901253          
47477.98207542949               120183511.7440006          
40527.55693739124               120183870.8165564          
34884.67075280948               120184162.7326298          
29344.44611910936               120184452.1570702          
24376.36113428632               120184716.8663861          
19993.74481064476               120184957.6315413          
16127.3999443085                120185179.3457292          
12713.1917963601                120185386.8081638          
9707.167118933576               120185584.1672705          
7086.291119726389               120185775.1331252          
4848.414513881798               120185963.3593761          
3016.17262512607                120186152.8712311          
1721.619955044196               120186335.3860132          
967.0942273138935               120186511.7971421          
741.5283112048783               120186684.4133358          
1037.464757039081               120186855.7226705          
1853.445988315114               120187028.2336979          
3194.933267708984               120187204.5523012          
5075.982050528328               120187387.499599           
7517.826577741813               120187579.9713742          
10513.58923086738               120187782.8407061          
13772.68581280495               120187981.1823324          
17276.62458126033               120188179.3113032          
21052.68741759229               120188382.0933355          
25126.51538066306               120188593.1182307          
29523.80996937209               120188815.4464454          
34272.8100860735                120189052.052128           
39404.46128333741               120189306.0196269          
44951.61501324634               120189580.6476931          
50944.89781194678               120189879.3735616          
57406.13978150027               120190205.5585744          
64341.55806920055               120190562.2212024          
71738.8707303088                120190951.9085878          
79573.44717547261               120191376.9978815          
87819.28850588959               120191840.2995371          
96452.38519115005               120192345.3484856          
105447.4465464802               120192896.3901595          
114770.3200714643               120193498.1131795          
124370.6650352129               120194155.3311357          
134002.160379714                120194859.4793337          
