Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Oct 2031 13:08:53.778    02 Oct 2031 20:46:28.868      27455.089829    
03 Oct 2031 13:06:03.654    03 Oct 2031 20:43:08.447      27424.792716    
04 Oct 2031 13:03:08.088    04 Oct 2031 20:39:48.663      27400.575064    
05 Oct 2031 13:00:10.552    05 Oct 2031 20:36:29.348      27378.795854    
06 Oct 2031 12:57:12.035    06 Oct 2031 20:33:10.493      27358.458061    
07 Oct 2031 12:54:12.987    07 Oct 2031 20:29:52.107      27339.120241    
08 Oct 2031 12:51:13.655    08 Oct 2031 20:26:34.199      27320.543326    
09 Oct 2031 12:48:14.194    09 Oct 2031 20:23:16.776      27302.582120    
10 Oct 2031 12:45:14.703    10 Oct 2031 20:19:59.845      27285.141677    
11 Oct 2031 12:42:15.252    11 Oct 2031 20:16:43.409      27268.156653    
12 Oct 2031 12:39:15.890    12 Oct 2031 20:13:27.470      27251.580372    
13 Oct 2031 12:36:16.652    13 Oct 2031 20:10:12.030      27235.378488    
14 Oct 2031 12:33:17.564    14 Oct 2031 20:06:57.089      27219.525015    
15 Oct 2031 12:30:18.648    15 Oct 2031 20:03:42.647      27203.999689    
16 Oct 2031 12:27:19.916    16 Oct 2031 20:00:28.702      27188.786182    
17 Oct 2031 12:24:21.379    17 Oct 2031 19:57:15.250      27173.870961    
18 Oct 2031 12:21:23.046    18 Oct 2031 19:54:02.289      27159.242695    
19 Oct 2031 12:18:24.922    19 Oct 2031 19:50:49.814      27144.892032    
20 Oct 2031 12:15:27.008    20 Oct 2031 19:47:37.820      27130.811651    
21 Oct 2031 12:12:29.306    21 Oct 2031 19:44:26.302      27116.996316    
22 Oct 2031 12:09:31.815    22 Oct 2031 19:41:15.258      27103.442841    
23 Oct 2031 12:06:34.531    23 Oct 2031 19:38:04.681      27090.149837    
24 Oct 2031 12:03:37.452    24 Oct 2031 19:34:54.570      27077.117260    
25 Oct 2031 12:00:40.574    25 Oct 2031 19:31:44.920      27064.345816    
26 Oct 2031 11:57:43.891    26 Oct 2031 19:28:35.728      27051.836370    
27 Oct 2031 11:54:47.401    27 Oct 2031 19:25:26.990      27039.589479    
28 Oct 2031 11:51:51.099    28 Oct 2031 19:22:18.704      27027.605194    
29 Oct 2031 11:48:54.981    29 Oct 2031 19:19:10.864      27015.883115    
30 Oct 2031 11:45:59.045    30 Oct 2031 19:16:03.468      27004.422649    


Number of events : 29


