Spacecraft: DALA_SatFine

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
02 Oct 2031 03:59:40.636    02 Oct 2031 04:45:34.922      2754.2855164    Jupiter         Umbra       1             2754.2855164
02 Oct 2031 07:31:07.238    02 Oct 2031 08:17:03.358      2756.1206666    Jupiter         Umbra       2             2756.1206666
02 Oct 2031 11:02:33.974    02 Oct 2031 11:48:32.085      2758.1111903    Jupiter         Umbra       3             2758.1111903
02 Oct 2031 14:34:00.769    02 Oct 2031 15:20:00.822      2760.0535782    Jupiter         Umbra       4             2760.0535782
02 Oct 2031 18:05:27.520    02 Oct 2031 18:51:29.255      2761.7343054    Jupiter         Umbra       5             2761.7343054
02 Oct 2031 21:36:54.128    02 Oct 2031 22:22:57.114      2762.9856980    Jupiter         Umbra       6             2762.9856980
03 Oct 2031 01:08:20.520    03 Oct 2031 01:54:24.250      2763.7296722    Jupiter         Umbra       7             2763.7296722
03 Oct 2031 04:39:46.668    03 Oct 2031 05:25:50.664      2763.9961991    Jupiter         Umbra       8             2763.9961991
03 Oct 2031 08:11:12.593    03 Oct 2031 08:57:16.506      2763.9130730    Jupiter         Umbra       9             2763.9130730
03 Oct 2031 11:42:38.363    03 Oct 2031 12:28:42.035      2763.6716296    Jupiter         Umbra       10            2763.6716296
03 Oct 2031 15:14:04.068    03 Oct 2031 16:00:07.547      2763.4788928    Jupiter         Umbra       11            2763.4788928
03 Oct 2031 18:45:29.806    03 Oct 2031 19:31:33.314      2763.5082780    Jupiter         Umbra       12            2763.5082780
03 Oct 2031 22:16:55.651    03 Oct 2031 23:02:59.511      2763.8595894    Jupiter         Umbra       13            2763.8595894
04 Oct 2031 01:48:21.643    04 Oct 2031 02:34:26.181      2764.5376591    Jupiter         Umbra       14            2764.5376591
04 Oct 2031 05:19:47.776    04 Oct 2031 06:05:53.232      2765.4556724    Jupiter         Umbra       15            2765.4556724
04 Oct 2031 08:51:14.000    04 Oct 2031 09:37:20.464      2766.4636772    Jupiter         Umbra       16            2766.4636772
04 Oct 2031 12:22:40.240    04 Oct 2031 13:08:47.636      2767.3959575    Jupiter         Umbra       17            2767.3959575
04 Oct 2031 15:54:06.420    04 Oct 2031 16:40:14.545      2768.1240823    Jupiter         Umbra       18            2768.1240823
04 Oct 2031 19:25:32.487    04 Oct 2031 20:11:41.085      2768.5986988    Jupiter         Umbra       19            2768.5986988
04 Oct 2031 22:56:58.425    04 Oct 2031 23:43:07.292      2768.8664107    Jupiter         Umbra       20            2768.8664107
05 Oct 2031 02:28:24.269    05 Oct 2031 03:14:33.329      2769.0600873    Jupiter         Umbra       21            2779.4524420
05 Oct 2031 03:14:33.329    05 Oct 2031 03:14:43.722      10.392354615    Jupiter         Penumbra    21            2779.4524420
05 Oct 2031 05:59:50.089    05 Oct 2031 06:45:59.453      2769.3643611    Jupiter         Umbra       22            2769.3643611
05 Oct 2031 09:31:15.977    05 Oct 2031 10:17:25.946      2769.9693593    Jupiter         Umbra       23            2769.9693593
05 Oct 2031 13:02:42.024    05 Oct 2031 13:48:53.045      2771.0218280    Jupiter         Umbra       24            2771.0218280
05 Oct 2031 16:34:08.296    05 Oct 2031 17:20:20.883      2772.5870503    Jupiter         Umbra       25            2772.5870503
