Spacecraft: DALA_SatFine

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
05 Oct 2031 20:05:34.817    05 Oct 2031 20:51:49.445      2774.6282137    Jupiter         Umbra       26            2774.6282137
05 Oct 2031 23:37:01.561    06 Oct 2031 00:23:18.572      2777.0103441    Jupiter         Umbra       27            2777.0103441
06 Oct 2031 03:08:28.456    06 Oct 2031 03:54:47.987      2779.5303302    Jupiter         Umbra       28            2779.5303302
06 Oct 2031 06:39:55.402    06 Oct 2031 07:26:17.369      2781.9663472    Jupiter         Umbra       29            2781.9663472
06 Oct 2031 10:11:22.296    06 Oct 2031 10:57:46.429      2784.1332466    Jupiter         Umbra       30            2784.1332466
06 Oct 2031 13:42:49.057    06 Oct 2031 14:29:14.985      2785.9279160    Jupiter         Umbra       31            2785.9279160
06 Oct 2031 17:14:15.648    06 Oct 2031 18:00:43.000      2787.3512657    Jupiter         Umbra       32            2787.3512657
06 Oct 2031 20:45:42.080    06 Oct 2031 21:32:10.582      2788.5012085    Jupiter         Umbra       33            2788.5012085
07 Oct 2031 00:17:08.407    07 Oct 2031 01:03:37.948      2789.5413199    Jupiter         Umbra       34            2789.5413199
07 Oct 2031 03:48:34.709    07 Oct 2031 04:35:05.364      2790.6554207    Jupiter         Umbra       35            2790.6554207
07 Oct 2031 07:20:01.071    07 Oct 2031 08:06:33.069      2791.9981695    Jupiter         Umbra       36            2791.9981695
07 Oct 2031 10:51:27.560    07 Oct 2031 11:38:01.215      2793.6544973    Jupiter         Umbra       37            2793.6544973
07 Oct 2031 14:22:54.208    07 Oct 2031 15:09:29.824      2795.6159852    Jupiter         Umbra       38            2795.6159852
07 Oct 2031 17:54:21.001    07 Oct 2031 18:40:58.782      2797.7809661    Jupiter         Umbra       39            2797.7809661
07 Oct 2031 21:25:47.880    07 Oct 2031 22:12:27.861      2799.9807989    Jupiter         Umbra       40            2799.9807989
08 Oct 2031 00:57:14.763    08 Oct 2031 01:43:56.790      2802.0262005    Jupiter         Umbra       41            2802.0262005
08 Oct 2031 04:28:41.563    08 Oct 2031 05:15:25.323      2803.7604039    Jupiter         Umbra       42            2803.7604039
08 Oct 2031 08:00:08.212    08 Oct 2031 08:46:53.315      2805.1031132    Jupiter         Umbra       43            2805.1031132
08 Oct 2031 11:31:34.683    08 Oct 2031 12:18:20.755      2806.0719264    Jupiter         Umbra       44            2806.0719264
08 Oct 2031 15:03:00.994    08 Oct 2031 15:49:47.769      2806.7753808    Jupiter         Umbra       45            2806.7753808
08 Oct 2031 18:34:27.201    08 Oct 2031 19:21:14.582      2807.3814490    Jupiter         Umbra       46            2807.3814490
08 Oct 2031 22:05:53.385    08 Oct 2031 22:52:41.457      2808.0724430    Jupiter         Umbra       47            2808.0724430
09 Oct 2031 01:37:19.628    09 Oct 2031 02:24:08.625      2808.9962178    Jupiter         Umbra       48            2808.9962178
09 Oct 2031 05:08:45.994    09 Oct 2031 05:55:36.219      2810.2253332    Jupiter         Umbra       49            2810.2253332
09 Oct 2031 08:40:12.505    09 Oct 2031 09:27:04.239      2811.7335514    Jupiter         Umbra       50            2811.7335514
09 Oct 2031 12:11:39.140    09 Oct 2031 12:58:32.538      2813.3977643    Jupiter         Umbra       51            2813.3977643
09 Oct 2031 15:43:05.831    09 Oct 2031 16:30:00.856      2815.0244289    Jupiter         Umbra       52            2815.0244289
09 Oct 2031 19:14:32.485    09 Oct 2031 20:01:28.882      2816.3978725    Jupiter         Umbra       53            2816.3978725
09 Oct 2031 22:45:59.000    09 Oct 2031 23:32:56.337      2817.3367969    Jupiter         Umbra       54            2817.3367969
10 Oct 2031 02:17:25.301    10 Oct 2031 03:04:23.042      2817.7413939    Jupiter         Umbra       55            2817.7413939
10 Oct 2031 05:48:51.349    10 Oct 2031 06:35:48.967      2817.6176720    Jupiter         Umbra       56            2817.6176720
10 Oct 2031 09:20:17.156    10 Oct 2031 10:07:14.229      2817.0734887    Jupiter         Umbra       57            2817.0734887
10 Oct 2031 12:51:42.776    10 Oct 2031 13:38:39.065      2816.2892166    Jupiter         Umbra       58            2816.2892166
10 Oct 2031 16:23:08.295    10 Oct 2031 17:10:03.768      2815.4721942    Jupiter         Umbra       59            2815.4721942
10 Oct 2031 19:54:33.807    10 Oct 2031 20:41:28.614      2814.8070537    Jupiter         Umbra       60            2814.8070537
10 Oct 2031 23:25:59.390    11 Oct 2031 00:12:53.803      2814.4131725    Jupiter         Umbra       61            2814.4131725
11 Oct 2031 02:57:25.091    11 Oct 2031 03:44:19.409      2814.3182211    Jupiter         Umbra       62            2814.3182211
11 Oct 2031 06:28:50.914    11 Oct 2031 07:15:45.370      2814.4556631    Jupiter         Umbra       63            2814.4556631
11 Oct 2031 10:00:16.820    11 Oct 2031 10:47:11.509      2814.6884175    Jupiter         Umbra       64            2814.6884175
11 Oct 2031 13:31:42.741    11 Oct 2031 14:18:37.594      2814.8531521    Jupiter         Umbra       65            2814.8531521
11 Oct 2031 17:03:08.601    11 Oct 2031 17:50:03.415      2814.8134143    Jupiter         Umbra       66            2814.8134143
11 Oct 2031 20:34:34.344    11 Oct 2031 21:21:28.849      2814.5044005    Jupiter         Umbra       67            2814.5044005
12 Oct 2031 00:05:59.949    12 Oct 2031 00:52:53.904      2813.9557413    Jupiter         Umbra       68            2813.9557413
12 Oct 2031 03:37:25.438    12 Oct 2031 04:24:18.725      2813.2868327    Jupiter         Umbra       69            2813.2868327
12 Oct 2031 07:08:50.876    12 Oct 2031 07:55:43.554      2812.6776106    Jupiter         Umbra       70            2812.6776106
12 Oct 2031 10:40:16.352    12 Oct 2031 11:27:08.676      2812.3237998    Jupiter         Umbra       71            2812.3237998
12 Oct 2031 14:11:41.957    12 Oct 2031 14:58:34.346      2812.3883551    Jupiter         Umbra       72            2812.3883551
12 Oct 2031 17:43:07.767    12 Oct 2031 18:30:00.727      2812.9601799    Jupiter         Umbra       73            2812.9601799
12 Oct 2031 21:14:33.817    12 Oct 2031 22:01:27.846      2814.0288694    Jupiter         Umbra       74            2814.0288694
13 Oct 2031 00:46:00.093    13 Oct 2031 01:32:55.577      2815.4831420    Jupiter         Umbra       75            2815.4831420
13 Oct 2031 04:17:26.537    13 Oct 2031 05:04:23.673      2817.1356294    Jupiter         Umbra       76            2817.1356294
13 Oct 2031 07:48:53.057    13 Oct 2031 08:35:51.826      2818.7689098    Jupiter         Umbra       77            2818.7689098
13 Oct 2031 11:20:19.550    13 Oct 2031 12:07:19.741      2820.1905175    Jupiter         Umbra       78            2820.1905175
13 Oct 2031 14:51:45.934    13 Oct 2031 15:38:47.215      2821.2812359    Jupiter         Umbra       79            2821.2812359
13 Oct 2031 18:23:12.163    13 Oct 2031 19:10:14.185      2822.0219770    Jupiter         Umbra       80            2822.0219770
13 Oct 2031 21:54:38.238    13 Oct 2031 22:41:40.730      2822.4926204    Jupiter         Umbra       81            2822.4926204
14 Oct 2031 01:26:04.205    14 Oct 2031 02:13:07.050      2822.8458107    Jupiter         Umbra       82            2822.8458107
14 Oct 2031 04:57:30.139    14 Oct 2031 05:44:33.403      2823.2641612    Jupiter         Umbra       83            2833.3597908
14 Oct 2031 05:44:33.403    14 Oct 2031 05:44:43.499      10.095629585    Jupiter         Penumbra    83            2833.3597908
14 Oct 2031 08:28:56.126    14 Oct 2031 09:16:00.038      2823.9117499    Jupiter         Umbra       84            2823.9117499
14 Oct 2031 12:00:22.240    14 Oct 2031 12:47:27.131      2824.8910798    Jupiter         Umbra       85            2824.8910798
14 Oct 2031 15:31:48.520    14 Oct 2031 16:18:54.735      2826.2154119    Jupiter         Umbra       86            2826.2154119
14 Oct 2031 19:03:14.962    14 Oct 2031 19:50:22.766      2827.8037796    Jupiter         Umbra       87            2827.8037796
14 Oct 2031 22:34:41.521    14 Oct 2031 23:21:51.023      2829.5017392    Jupiter         Umbra       88            2829.5017392
15 Oct 2031 02:06:08.117    15 Oct 2031 02:53:19.241      2831.1240455    Jupiter         Umbra       89            2831.1240455
15 Oct 2031 05:37:34.664    15 Oct 2031 06:24:47.171      2832.5070124    Jupiter         Umbra       90            2832.5070124
15 Oct 2031 09:09:01.091    15 Oct 2031 09:56:14.646      2833.5548812    Jupiter         Umbra       91            2833.5548812
15 Oct 2031 12:40:27.361    15 Oct 2031 13:27:41.627      2834.2658988    Jupiter         Umbra       92            2834.2658988
15 Oct 2031 16:11:53.484    15 Oct 2031 16:59:08.215      2834.7308386    Jupiter         Umbra       93            2834.7308386
15 Oct 2031 19:43:19.509    15 Oct 2031 20:30:34.616      2835.1069681    Jupiter         Umbra       94            2835.1069681
15 Oct 2031 23:14:33.893    15 Oct 2031 23:14:45.514      11.621178291    Jupiter         Penumbra    95            2847.1967933
15 Oct 2031 23:14:45.514    16 Oct 2031 00:02:01.089      2835.5756150    Jupiter         Umbra       95            2847.1967933
16 Oct 2031 02:46:11.582    16 Oct 2031 03:33:27.876      2836.2939594    Jupiter         Umbra       96            2836.2939594
16 Oct 2031 06:17:37.781    16 Oct 2031 07:04:55.133      2837.3522606    Jupiter         Umbra       97            2837.3522606
16 Oct 2031 09:49:04.146    16 Oct 2031 10:36:22.893      2838.7466090    Jupiter         Umbra       98            2838.7466090
16 Oct 2031 13:20:30.665    16 Oct 2031 14:07:51.040      2840.3744907    Jupiter         Umbra       99            2840.3744907
16 Oct 2031 16:51:57.279    16 Oct 2031 17:39:19.335      2842.0561779    Jupiter         Umbra       100           2842.0561779
16 Oct 2031 20:23:23.898    16 Oct 2031 21:10:47.477      2843.5788411    Jupiter         Umbra       101           2843.5788411
16 Oct 2031 23:54:38.863    16 Oct 2031 23:54:50.423      11.559637939    Jupiter         Penumbra    102           2856.3115767
16 Oct 2031 23:54:50.423    17 Oct 2031 00:42:15.175      2844.7519388    Jupiter         Umbra       102           2856.3115767
17 Oct 2031 03:26:16.768    17 Oct 2031 04:13:42.224      2845.4560759    Jupiter         Umbra       103           2845.4560759
17 Oct 2031 06:57:42.888    17 Oct 2031 07:45:08.561      2845.6724993    Jupiter         Umbra       104           2845.6724993
17 Oct 2031 10:29:08.783    17 Oct 2031 11:16:34.268      2845.4851330    Jupiter         Umbra       105           2845.4851330
17 Oct 2031 14:00:34.497    17 Oct 2031 14:47:59.554      2845.0565156    Jupiter         Umbra       106           2845.0565156
17 Oct 2031 17:32:00.111    17 Oct 2031 18:19:24.697      2844.5859733    Jupiter         Umbra       107           2844.5859733
17 Oct 2031 21:03:25.714    17 Oct 2031 21:50:49.976      2844.2612492    Jupiter         Umbra       108           2844.2612492
18 Oct 2031 00:34:39.808    18 Oct 2031 00:34:51.391      11.583318911    Jupiter         Penumbra    109           2855.7973897
18 Oct 2031 00:34:51.391    18 Oct 2031 01:22:15.606      2844.2140708    Jupiter         Umbra       109           2855.7973897
18 Oct 2031 04:06:17.196    18 Oct 2031 04:53:41.686      2844.4899381    Jupiter         Umbra       110           2844.4899381
18 Oct 2031 07:37:43.139    18 Oct 2031 08:25:08.179      2845.0402488    Jupiter         Umbra       111           2845.0402488
18 Oct 2031 11:09:09.189    18 Oct 2031 11:56:34.929      2845.7402450    Jupiter         Umbra       112           2845.7402450
18 Oct 2031 14:40:35.283    18 Oct 2031 15:28:01.712      2846.4293110    Jupiter         Umbra       113           2846.4293110
18 Oct 2031 18:12:01.345    18 Oct 2031 18:59:28.308      2846.9626509    Jupiter         Umbra       114           2846.9626509
18 Oct 2031 21:43:27.313    18 Oct 2031 22:30:54.571      2847.2581815    Jupiter         Umbra       115           2847.2581815
19 Oct 2031 01:14:41.596    19 Oct 2031 01:14:53.157      11.560863792    Jupiter         Penumbra    116           2858.8850006
19 Oct 2031 01:14:53.157    19 Oct 2031 02:02:20.481      2847.3241368    Jupiter         Umbra       116           2858.8850006
19 Oct 2031 04:46:18.891    19 Oct 2031 05:33:46.151      2847.2598958    Jupiter         Umbra       117           2847.2598958
19 Oct 2031 08:17:44.572    19 Oct 2031 09:05:11.804      2847.2324637    Jupiter         Umbra       118           2847.2324637
19 Oct 2031 11:49:10.282    19 Oct 2031 12:36:37.716      2847.4345661    Jupiter         Umbra       119           2847.4345661
19 Oct 2031 15:20:36.114    19 Oct 2031 16:08:04.151      2848.0372987    Jupiter         Umbra       120           2848.0372987
19 Oct 2031 18:52:02.147    19 Oct 2031 19:39:31.294      2849.1468512    Jupiter         Umbra       121           2849.1468512
19 Oct 2031 22:23:28.425    19 Oct 2031 23:10:59.200      2850.7748919    Jupiter         Umbra       122           2850.7748919
20 Oct 2031 01:54:54.945    20 Oct 2031 02:42:27.777      2852.8314558    Jupiter         Umbra       123           2852.8314558
20 Oct 2031 05:26:21.657    20 Oct 2031 06:13:56.801      2855.1439759    Jupiter         Umbra       124           2855.1439759
20 Oct 2031 08:57:48.473    20 Oct 2031 09:45:25.971      2857.4988653    Jupiter         Umbra       125           2857.4988653
20 Oct 2031 12:29:15.293    20 Oct 2031 13:16:54.988      2859.6951073    Jupiter         Umbra       126           2859.6951073
20 Oct 2031 16:00:42.029    20 Oct 2031 16:48:23.623      2861.5946576    Jupiter         Umbra       127           2861.5946576
20 Oct 2031 19:32:08.626    20 Oct 2031 20:19:51.780      2863.1542297    Jupiter         Umbra       128           2863.1542297
20 Oct 2031 23:03:35.075    20 Oct 2031 23:51:19.504      2864.4296729    Jupiter         Umbra       129           2864.4296729
21 Oct 2031 02:35:01.411    21 Oct 2031 03:22:46.967      2865.5560706    Jupiter         Umbra       130           2865.5560706
21 Oct 2031 06:06:27.703    21 Oct 2031 06:54:14.411      2866.7079622    Jupiter         Umbra       131           2866.7079622
21 Oct 2031 09:37:54.034    21 Oct 2031 10:25:42.087      2868.0526384    Jupiter         Umbra       132           2868.0526384
21 Oct 2031 13:09:20.477    21 Oct 2031 13:57:10.182      2869.7049486    Jupiter         Umbra       133           2869.7049486
21 Oct 2031 16:40:47.079    21 Oct 2031 17:28:38.776      2871.6961210    Jupiter         Umbra       134           2871.6961210
21 Oct 2031 20:12:13.845    21 Oct 2031 21:00:07.808      2873.9630545    Jupiter         Umbra       135           2873.9630545
21 Oct 2031 23:43:40.733    22 Oct 2031 00:31:37.097      2876.3633382    Jupiter         Umbra       136           2876.3633382
22 Oct 2031 03:15:07.673    22 Oct 2031 04:03:06.386      2878.7137108    Jupiter         Umbra       137           2878.7137108
22 Oct 2031 06:46:34.577    22 Oct 2031 07:34:35.418      2880.8412528    Jupiter         Umbra       138           2890.5795373
22 Oct 2031 07:34:35.418    22 Oct 2031 07:34:45.156      9.7382845357    Jupiter         Penumbra    138           2890.5795373
22 Oct 2031 10:18:01.370    22 Oct 2031 11:06:04.002      2882.6317468    Jupiter         Umbra       139           2882.6317468
22 Oct 2031 13:49:28.009    22 Oct 2031 14:37:32.069      2884.0603770    Jupiter         Umbra       140           2884.0603770
22 Oct 2031 17:20:54.492    22 Oct 2031 18:08:59.688      2885.1963527    Jupiter         Umbra       141           2885.1963527
22 Oct 2031 20:52:20.859    22 Oct 2031 21:40:27.041      2886.1821695    Jupiter         Umbra       142           2886.1821695
23 Oct 2031 00:23:47.181    23 Oct 2031 01:11:54.376      2887.1947513    Jupiter         Umbra       143           2887.1947513
23 Oct 2031 03:55:13.539    23 Oct 2031 04:43:21.936      2888.3978158    Jupiter         Umbra       144           2888.3978158
23 Oct 2031 07:26:40.003    23 Oct 2031 08:14:49.900      2889.8972444    Jupiter         Umbra       145           2889.8972444
23 Oct 2031 10:58:06.614    23 Oct 2031 11:46:18.324      2891.7098338    Jupiter         Umbra       146           2891.7098338
23 Oct 2031 14:29:33.369    23 Oct 2031 15:17:47.122      2893.7527876    Jupiter         Umbra       147           2893.7527876
23 Oct 2031 18:01:00.219    23 Oct 2031 18:49:16.078      2895.8592386    Jupiter         Umbra       148           2895.8592386
23 Oct 2031 21:32:27.080    23 Oct 2031 22:20:44.898      2897.8185106    Jupiter         Umbra       149           2897.8185106
24 Oct 2031 01:03:53.854    24 Oct 2031 01:52:13.283      2899.4297402    Jupiter         Umbra       150           2899.4297402
24 Oct 2031 04:35:20.454    24 Oct 2031 05:23:41.007      2900.5531581    Jupiter         Umbra       151           2900.5531581
24 Oct 2031 08:06:46.825    24 Oct 2031 08:55:07.969      2901.1444412    Jupiter         Umbra       152           2901.1444412
24 Oct 2031 11:38:12.955    24 Oct 2031 12:26:34.219      2901.2630340    Jupiter         Umbra       153           2901.2630340
24 Oct 2031 15:09:38.881    24 Oct 2031 15:57:59.935      2901.0535734    Jupiter         Umbra       154           2901.0535734
24 Oct 2031 18:41:04.671    24 Oct 2031 19:29:25.379      2900.7075735    Jupiter         Umbra       155           2900.7075735
24 Oct 2031 22:12:30.412    24 Oct 2031 23:00:50.828      2900.4167074    Jupiter         Umbra       156           2900.4167074
25 Oct 2031 01:43:56.186    25 Oct 2031 02:32:16.513      2900.3263777    Jupiter         Umbra       157           2900.3263777
25 Oct 2031 05:15:22.053    25 Oct 2031 06:03:42.554      2900.5014597    Jupiter         Umbra       158           2900.5014597
25 Oct 2031 08:46:48.030    25 Oct 2031 09:35:08.943      2900.9129743    Jupiter         Umbra       159           2900.9129743
25 Oct 2031 12:18:14.097    25 Oct 2031 13:06:35.547      2901.4505462    Jupiter         Umbra       160           2901.4505462
25 Oct 2031 15:49:40.195    25 Oct 2031 16:38:02.153      2901.9583135    Jupiter         Umbra       161           2901.9583135
25 Oct 2031 19:21:06.252    25 Oct 2031 20:09:28.538      2902.2855051    Jupiter         Umbra       162           2902.2855051
25 Oct 2031 22:52:32.204    25 Oct 2031 23:40:54.539      2902.3354042    Jupiter         Umbra       163           2902.3354042
26 Oct 2031 02:23:58.014    26 Oct 2031 03:12:20.112      2902.0974912    Jupiter         Umbra       164           2902.0974912
26 Oct 2031 05:55:23.688    26 Oct 2031 06:43:45.343      2901.6542824    Jupiter         Umbra       165           2901.6542824
26 Oct 2031 09:26:49.273    26 Oct 2031 10:15:10.435      2901.1625323    Jupiter         Umbra       166           2901.1625323
26 Oct 2031 12:58:14.845    26 Oct 2031 13:46:35.660      2900.8152531    Jupiter         Umbra       167           2900.8152531
26 Oct 2031 16:29:40.495    26 Oct 2031 17:18:01.290      2900.7946889    Jupiter         Umbra       168           2900.7946889
26 Oct 2031 20:01:06.305    26 Oct 2031 20:49:27.533      2901.2271555    Jupiter         Umbra       169           2901.2271555
26 Oct 2031 23:32:32.329    27 Oct 2031 00:20:54.478      2902.1496202    Jupiter         Umbra       170           2902.1496202
27 Oct 2031 03:03:58.573    27 Oct 2031 03:52:22.070      2903.4970191    Jupiter         Umbra       171           2903.4970191
27 Oct 2031 06:35:25.001    27 Oct 2031 07:23:50.117      2905.1153781    Jupiter         Umbra       172           2905.1153781
27 Oct 2031 10:06:51.535    27 Oct 2031 10:55:18.335      2906.7994799    Jupiter         Umbra       173           2906.7994799
27 Oct 2031 13:38:18.081    27 Oct 2031 14:26:46.425      2908.3448007    Jupiter         Umbra       174           2908.3448007
27 Oct 2031 17:09:44.548    27 Oct 2031 17:58:14.148      2909.5999211    Jupiter         Umbra       175           2909.5999211
27 Oct 2031 20:41:10.877    27 Oct 2031 21:29:41.379      2910.5023221    Jupiter         Umbra       176           2910.5023221
28 Oct 2031 00:12:37.050    28 Oct 2031 01:01:08.139      2911.0889778    Jupiter         Umbra       177           2911.0889778
28 Oct 2031 03:44:03.093    28 Oct 2031 04:32:34.575      2911.4812005    Jupiter         Umbra       178           2911.4812005
28 Oct 2031 07:15:29.069    28 Oct 2031 08:04:00.918      2911.8492828    Jupiter         Umbra       179           2911.8492828
28 Oct 2031 10:46:55.056    28 Oct 2031 11:35:27.423      2912.3664301    Jupiter         Umbra       180           2912.3664301
28 Oct 2031 14:18:21.132    28 Oct 2031 15:06:54.295      2913.1629538    Jupiter         Umbra       181           2913.1629538
28 Oct 2031 17:49:47.350    28 Oct 2031 18:38:21.641      2914.2912795    Jupiter         Umbra       182           2914.2912795
28 Oct 2031 21:21:13.724    28 Oct 2031 22:09:49.435      2915.7102858    Jupiter         Umbra       183           2915.7102858
29 Oct 2031 00:52:40.227    29 Oct 2031 01:41:17.521      2917.2949250    Jupiter         Umbra       184           2917.2949250
29 Oct 2031 04:24:06.792    29 Oct 2031 05:12:45.662      2918.8702742    Jupiter         Umbra       185           2918.8702742
29 Oct 2031 07:55:33.337    29 Oct 2031 08:44:13.599      2920.2611733    Jupiter         Umbra       186           2920.2611733
29 Oct 2031 11:26:59.787    29 Oct 2031 12:15:41.129      2921.3416662    Jupiter         Umbra       187           2921.3416662
29 Oct 2031 14:58:26.092    29 Oct 2031 15:47:08.162      2922.0697602    Jupiter         Umbra       188           2922.0697602
29 Oct 2031 18:29:52.242    29 Oct 2031 19:18:34.739      2922.4976170    Jupiter         Umbra       189           2922.4976170
29 Oct 2031 22:01:18.268    29 Oct 2031 22:50:01.024      2922.7559137    Jupiter         Umbra       190           2922.7559137
30 Oct 2031 01:32:44.238    30 Oct 2031 02:21:27.256      2923.0183827    Jupiter         Umbra       191           2923.0183827
30 Oct 2031 05:04:10.230    30 Oct 2031 05:52:53.686      2923.4559822    Jupiter         Umbra       192           2923.4559822
30 Oct 2031 08:35:36.320    30 Oct 2031 09:24:20.511      2924.1912981    Jupiter         Umbra       193           2924.1912981
30 Oct 2031 12:07:02.556    30 Oct 2031 12:55:47.820      2925.2635363    Jupiter         Umbra       194           2925.2635363
30 Oct 2031 15:38:28.947    30 Oct 2031 16:27:15.560      2926.6130920    Jupiter         Umbra       195           2926.6130920
30 Oct 2031 19:09:55.454    30 Oct 2031 19:58:43.545      2928.0916409    Jupiter         Umbra       196           2928.0916409
30 Oct 2031 22:41:22.001    30 Oct 2031 23:30:11.499      2929.4977204    Jupiter         Umbra       197           2929.4977204
31 Oct 2031 02:12:48.494    31 Oct 2031 03:01:39.122      2930.6277359    Jupiter         Umbra       198           2930.6277359
31 Oct 2031 05:44:14.843    31 Oct 2031 06:33:06.172      2931.3286236    Jupiter         Umbra       199           2931.3286236
31 Oct 2031 09:15:40.985    31 Oct 2031 10:04:32.521      2931.5358600    Jupiter         Umbra       200           2931.5358600
31 Oct 2031 12:47:06.900    31 Oct 2031 13:35:58.187      2931.2871023    Jupiter         Umbra       201           2931.2871023
31 Oct 2031 16:18:32.612    31 Oct 2031 17:07:23.321      2930.7090352    Jupiter         Umbra       202           2930.7090352
31 Oct 2031 19:49:58.185    31 Oct 2031 20:38:48.168      2929.9838367    Jupiter         Umbra       203           2929.9838367
31 Oct 2031 23:21:23.701    01 Nov 2031 00:10:13.005      2929.3039193    Jupiter         Umbra       204           2929.3039193
01 Nov 2031 02:52:49.246    01 Nov 2031 03:41:38.072      2928.8252707    Jupiter         Umbra       205           2928.8252707
01 Nov 2031 06:24:14.884    01 Nov 2031 07:13:03.515      2928.6303726    Jupiter         Umbra       206           2928.6303726
01 Nov 2031 09:55:40.644    01 Nov 2031 10:44:29.354      2928.7102153    Jupiter         Umbra       207           2928.7102153
01 Nov 2031 13:27:06.511    01 Nov 2031 14:15:55.482      2928.9710568    Jupiter         Umbra       208           2928.9710568
01 Nov 2031 16:58:32.435    01 Nov 2031 17:47:21.700      2929.2656607    Jupiter         Umbra       209           2929.2656607
01 Nov 2031 20:29:58.346    01 Nov 2031 21:18:47.787      2929.4414041    Jupiter         Umbra       210           2929.4414041
02 Nov 2031 00:01:24.176    02 Nov 2031 00:50:13.567      2929.3902232    Jupiter         Umbra       211           2929.3902232
02 Nov 2031 03:32:49.885    02 Nov 2031 04:21:38.968      2929.0837165    Jupiter         Umbra       212           2929.0837165
02 Nov 2031 07:04:15.467    02 Nov 2031 07:53:04.053      2928.5856805    Jupiter         Umbra       213           2928.5856805
02 Nov 2031 10:35:40.962    02 Nov 2031 11:24:29.001      2928.0384646    Jupiter         Umbra       214           2928.0384646
02 Nov 2031 14:07:06.443    02 Nov 2031 14:55:54.072      2927.6289529    Jupiter         Umbra       215           2927.6289529
02 Nov 2031 17:38:31.999    02 Nov 2031 18:27:19.543      2927.5438284    Jupiter         Umbra       216           2927.5438284
02 Nov 2031 21:09:57.716    02 Nov 2031 21:58:45.640      2927.9237178    Jupiter         Umbra       217           2927.9237178
03 Nov 2031 00:41:23.656    03 Nov 2031 01:30:12.482      2928.8267248    Jupiter         Umbra       218           2928.8267248
03 Nov 2031 04:12:49.837    03 Nov 2031 05:01:40.048      2930.2109684    Jupiter         Umbra       219           2930.2109684
03 Nov 2031 07:44:16.231    03 Nov 2031 08:33:08.173      2931.9421122    Jupiter         Umbra       220           2931.9421122
