DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
14997.31065345247               120151349.128214           
DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
14997.31065345247               120151349.128214           
14880.29649169205               120151409.1282142          
14505.76213256794               120151592.604418           
14014.4018003274                120151815.6168468          
13474.01555968258               120152040.9802398          
12892.95303065029               120152263.6454882          
12271.46821729644               120152482.90732            
11609.52197436038               120152698.6211507          
10908.04031313547               120152910.7411447          
10169.21514522088               120153119.2767089          
9396.704139225621               120153324.2772862          
8595.750463958349               120153525.8296914          
7773.238350182801               120153724.0601654          
6937.776461486908               120153919.1194178          
6099.635864414115               120154111.1927643          
5270.732429522395               120154300.4880474          
4464.491786369093               120154487.2380434          
3695.692599331931               120154671.6913397          
2980.168369587889               120154854.1136812          
2334.420648950283               120155034.7840947          
1775.082392605589               120155213.9937883          
1318.255191490491               120155392.0402885          
978.6940764721949               120155569.2289346          
768.9327788645605               120155745.8696954          
698.416032281486                120155922.2720999          
772.7499286507809               120156098.7467864          
993.2115743946197               120156275.6034401          
1356.575937967529               120156453.1408937          
1855.331314696683               120156631.6559973          
2478.217473749537               120156811.4401063          
3210.943136125279               120156992.7678544          
4037.079657938782               120157175.9078991          
4938.865081715689               120157361.1111184          
5897.970063711051               120157548.6127165          
6896.141550285713               120157738.6342197          
7915.674662629273               120157931.3787919          
8939.752788319689               120158127.027043           
9952.724021212736               120158325.7394226          
10940.25024119897               120158527.6499435          
11889.43104207989               120158732.8656209          
12788.88659963527               120158941.4657637          
13628.7952699184                120159153.4970631          
14400.93317920087               120159368.9729211          
15098.68468483069               120159587.8688861          
15717.04707335157               120159810.1188335          
16252.65727642803               120160035.626341           
16703.71787480546               120160264.2482049          
17069.9728084766                120160495.8052502          
17352.60750742335               120160730.0749883          
17554.13679096795               120160966.7946313          
17678.24958791534               120161205.668567           
17729.59835968088               120161446.372581           
17713.55363491907               120161688.5474612          
17635.92656016105               120161931.8136181          
17502.66388541437               120162175.7709199          
17319.53215244459               120162420.0101667          
17091.82311478781               120162664.1096913          
16824.0793087354                120162907.6519047          
16519.89533801575               120163150.2199758          
16181.7741722044                120163391.4149014          
15811.0921498143                120163630.8564631          
15408.15693017958               120163868.1882809          
14972.3645327422                120164103.0791387          
14502.40245592038               120164335.2410125          
13996.55468233905               120164564.4211747          
13453.02169070704               120164790.4059836          
12870.23854652572               120165013.0286275          
12247.19397799083               120165232.1680941          
11583.7300265966                120165447.7465893          
10880.78638777633               120165659.7314873          
10140.61769667237               120165868.1308888          
9366.931276214658               120166072.9982283          
8565.018773411066               120166274.424844           
7741.851451463459               120166472.5322895          
6906.096287025139               120166667.4740209          
6068.075831963579               120166859.4390133          
5239.774441382731               120167048.6340065          
4434.675210152534               120167235.2918417          
3667.596217287122               120167419.6632101          
2954.401243778368               120167602.0152247          
2311.612289913435               120167782.6263811          
1755.862984939013               120167961.7857524          
