DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
1697.713746457419               119977515.1210559          
DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
1697.713746457419               119977515.1210559          
1675.474629172691               119977575.1210561          
2038.613183795169               119977721.0010465          
3099.427042771509               119977880.2885161          
4806.183495676334               119978038.9496287          
7208.606162094482               119978204.42515            
10591.7625782875                119978392.0147135          
14529.15074295622               119978578.6611401          
18714.04092256339               119978757.0072055          
23263.48963780289               119978936.9757425          
28270.95422355956               119979124.4697033          
33817.28635744662               119979323.7353652          
39991.43626508562               119979538.8023055          
46891.24843702248               119979773.7874227          
54601.75440381716               119980032.3475785          
63145.3470339972                119980316.1873762          
72484.28821467826               119980625.2392813          
82610.64868326904               119980960.5894558          
93591.5674886487                119981325.9269412          
105550.8982296487               119981727.0078243          
118654.2185436526               119982171.3035021          
133099.1707492757               119982667.8563911          
149071.4247616628               119983225.9338962          
166603.5689186359               119983850.0398873          
185463.7522773467               119984535.3270712          
205423.8914975238               119985276.5294184          
226453.2665340709               119986075.2501999          
248633.7948603482               119986937.4132683          
272081.1597158035               119987870.6014411          
296916.3055222108               119988883.0688881          
323262.4846335606               119989983.6736381          
351244.1049500231               119991181.8686729          
380990.5452763748               119992487.9045085          
412635.5894430028               119993912.8560117          
446319.2274884823               119995468.756056           
482191.0845585291               119997168.820184           
520406.9232849386               119999027.3565394          
561132.7239227892               120001060.0339394          
604546.9466488839               120003284.0882479          
650839.4892810369               120005718.3732462          
700213.4666523576               120008383.5596633          
748985.6805059372               120011083.5596633          
796631.8853474036               120013783.5596633          
843260.3281827546               120016483.5596633          
888962.6538256262               120019183.5596633          
919649.6101623826               120021025.4721763          
