DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
80604.28130614004               120151515.1210561          
DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
80604.28130614004               120151515.1210561          
81681.7954765132                120151575.1210563          
84646.76361662612               120151741.6914846          
91951.45599515842               120152161.8584919          
100662.9822005731               120152683.0693014          
109807.2231646703               120153256.9105147          
119268.7960534834               120153883.7574824          
128984.4321557576               120154568.059045           
138872.5891673542               120155314.2654582          
148826.2100593691               120156126.2844388          
158713.7755451238               120157007.4039498          
168382.4509704413               120157960.3738085          
177661.7392473068               120158987.6180481          
186365.406731766                120160091.4449089          
194291.9826332699               120161274.3440821          
201222.4783120066               120162539.3059721          
206878.1277183064               120163879.9419991          
210981.7796402483               120165282.4557878          
213317.339503852                120166738.3369073          
213697.5970238909               120168234.4743319          
212000.2080299588               120169749.9543436          
208214.3575156243               120171258.5777986          
202443.2610101372               120172736.819316           
194862.9607666078               120174168.0183356          
185691.1172521985               120175540.5041043          
175287.6318485343               120176832.4996525          
163983.1908479359               120178036.1272293          
152059.4381833987               120179151.0485871          
139790.1446755963               120180177.4670497          
127450.2448009626               120181115.3313602          
116610.3572918522               120181876.8438455          
105099.4305469241               120182633.1981247          
95238.73206950471               120183245.1721697          
84953.22813677973               120183853.7603976          
76218.04612228295               120184350.4396653          
67252.86158957625               120184844.2094737          
58818.34547203629               120185296.9166453          
51001.33343763632               120185709.011346           
43802.22296548565               120186084.8679525          
37911.36758960215               120186392.0587872          
32113.2885708347                120186696.5973039          
26905.96875881987               120186974.7647834          
22313.90062600502               120187226.8900434          
18265.99524828428               120187458.0314471          
14691.69349846845               120187673.3124894          
11540.45112285177               120187877.1441054          
8783.043328152984               120188073.3946673          
6411.065451943941               120188265.7512475          
4438.433256842836               120188458.2399358          
2972.432689789537               120188646.1233382          
2050.538483844648               120188827.4907581          
1664.279603888543               120189004.2927292          
1804.747654121835               120189179.0117989          
2468.609676961278               120189354.1793045          
3659.170633657428               120189532.3957558          
5387.719845968386               120189716.4355095          
7673.975127763624               120189909.2491495          
10534.33584780557               120190113.2430912          
13741.56075149587               120190316.2803235          
17197.53804277434               120190517.7292962          
20920.54176632308               120190722.5620516          
24936.39282578359               120190934.7173985          
29270.31003453466               120191157.406683           
33949.49845539691               120191393.6442218          
39004.30108494994               120191646.5241241          
44467.05971414474               120191919.3188568          
50369.74219799036               120192215.4956934          
56737.37753906143               120192538.5089415          
63582.30852668195               120192891.6021675          
70897.35541394031               120193277.4979514          
78660.35202533779               120193698.6204623          
86843.86288862876               120194157.6118353          
95422.04199624828               120194657.783339           
101500.345554818                120195025.4721758          
