Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Oct 2031 13:08:34.666    02 Oct 2031 20:46:37.934      27483.268570    
03 Oct 2031 13:05:15.665    03 Oct 2031 20:43:14.153      27478.487620    
04 Oct 2031 13:01:59.654    04 Oct 2031 20:39:50.750      27471.095491    
05 Oct 2031 12:58:44.339    05 Oct 2031 20:36:27.652      27463.313203    
06 Oct 2031 12:55:29.004    06 Oct 2031 20:33:04.744      27455.740041    
07 Oct 2031 12:52:13.748    07 Oct 2031 20:29:41.810      27448.062627    
08 Oct 2031 12:48:58.662    08 Oct 2031 20:26:18.405      27439.742688    
09 Oct 2031 12:45:43.804    09 Oct 2031 20:22:54.327      27430.522581    
10 Oct 2031 12:42:29.208    10 Oct 2031 20:19:32.462      27423.253700    
11 Oct 2031 12:39:14.894    11 Oct 2031 20:16:12.828      27417.934212    
12 Oct 2031 12:36:00.871    12 Oct 2031 20:12:54.320      27413.449218    
13 Oct 2031 12:32:47.142    13 Oct 2031 20:09:36.572      27409.429626    
14 Oct 2031 12:29:33.707    14 Oct 2031 20:06:19.441      27405.733941    
15 Oct 2031 12:26:20.560    15 Oct 2031 20:03:02.855      27402.294149    
16 Oct 2031 12:23:07.697    16 Oct 2031 19:59:46.766      27399.069194    
17 Oct 2031 12:19:55.118    17 Oct 2031 19:56:31.139      27396.020925    
18 Oct 2031 12:16:42.867    18 Oct 2031 19:53:15.939      27393.072840    
19 Oct 2031 12:13:31.224    19 Oct 2031 19:50:01.132      27389.908626    
20 Oct 2031 12:10:21.631    20 Oct 2031 19:46:46.674      27385.042555    
21 Oct 2031 12:07:14.176    21 Oct 2031 19:43:32.508      27378.331930    
22 Oct 2031 12:04:06.758    22 Oct 2031 19:40:18.552      27371.793832    
23 Oct 2031 12:00:59.211    23 Oct 2031 19:37:04.666      27365.454166    
24 Oct 2031 11:57:51.644    24 Oct 2031 19:33:50.582      27358.938130    
25 Oct 2031 11:54:44.130    25 Oct 2031 19:30:35.771      27351.641203    
26 Oct 2031 11:51:36.713    26 Oct 2031 19:27:20.867      27344.154064    
27 Oct 2031 11:48:29.420    27 Oct 2031 19:24:08.611      27339.191690    
28 Oct 2031 11:45:22.265    28 Oct 2031 19:20:57.996      27335.731552    
29 Oct 2031 11:42:15.256    29 Oct 2031 19:17:48.252      27332.995410    
30 Oct 2031 11:39:08.397    30 Oct 2031 19:14:39.122      27330.725397    
31 Oct 2031 11:36:01.686    31 Oct 2031 19:11:30.499      27328.812867    
01 Nov 2031 11:32:55.121    01 Nov 2031 19:08:22.322      27327.200920    
02 Nov 2031 11:29:48.698    02 Nov 2031 19:05:14.549      27325.850840    
03 Nov 2031 11:26:42.432    03 Nov 2031 19:02:07.149      27324.717037    
04 Nov 2031 11:23:36.410    04 Nov 2031 18:59:00.089      27323.679039    
05 Nov 2031 11:20:31.185    05 Nov 2031 18:55:53.334      27322.149803    
06 Nov 2031 11:17:28.341    06 Nov 2031 18:52:46.842      27318.501073    
07 Nov 2031 11:14:26.388    07 Nov 2031 18:49:40.550      27314.161523    
08 Nov 2031 11:11:24.167    08 Nov 2031 18:46:34.361      27310.194212    
09 Nov 2031 11:08:21.740    09 Nov 2031 18:43:28.107      27306.366685    
10 Nov 2031 11:05:19.203    10 Nov 2031 18:40:21.437      27302.233362    
11 Nov 2031 11:02:16.618    11 Nov 2031 18:37:13.838      27297.220651    
12 Nov 2031 10:59:14.019    12 Nov 2031 18:34:07.292      27293.273288    
13 Nov 2031 10:56:11.428    13 Nov 2031 18:31:03.170      27291.741575    
14 Nov 2031 10:53:08.858    14 Nov 2031 18:28:00.208      27291.349977    
15 Nov 2031 10:50:06.314    15 Nov 2031 18:24:57.915      27291.600477    
16 Nov 2031 10:47:03.798    16 Nov 2031 18:21:56.110      27292.312765    
17 Nov 2031 10:44:01.305    17 Nov 2031 18:18:54.708      27293.402931    
18 Nov 2031 10:40:58.834    18 Nov 2031 18:15:53.656      27294.822490    
19 Nov 2031 10:37:56.384    19 Nov 2031 18:12:52.916      27296.532075    
20 Nov 2031 10:34:53.985    20 Nov 2031 18:09:52.454      27298.468923    
21 Nov 2031 10:31:51.819    21 Nov 2031 18:06:52.238      27300.418848    
22 Nov 2031 10:28:50.899    22 Nov 2031 18:03:52.228      27301.329453    
23 Nov 2031 10:25:51.941    23 Nov 2031 18:00:52.375      27300.433385    
24 Nov 2031 10:22:52.914    24 Nov 2031 17:57:52.604      27299.690135    
25 Nov 2031 10:19:53.495    25 Nov 2031 17:54:52.797      27299.302355    
26 Nov 2031 10:16:53.793    26 Nov 2031 17:51:52.728      27298.934616    
27 Nov 2031 10:13:53.890    27 Nov 2031 17:48:51.929      27298.039505    
28 Nov 2031 10:10:53.834    28 Nov 2031 17:45:50.402      27296.567290    
29 Nov 2031 10:07:53.655    29 Nov 2031 17:42:51.004      27297.348666    
30 Nov 2031 10:04:53.371    30 Nov 2031 17:39:53.346      27299.974581    
01 Dec 2031 10:01:52.991    01 Dec 2031 17:36:56.482      27303.491240    
02 Dec 2031 09:58:52.520    02 Dec 2031 17:34:00.105      27307.585322    
03 Dec 2031 09:55:51.959    03 Dec 2031 17:31:04.089      27312.130345    
