Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Oct 2031 13:08:34.365    02 Oct 2031 13:58:53.300      3018.9345379    
02 Oct 2031 14:28:31.559    02 Oct 2031 17:33:48.273      11116.714374    
02 Oct 2031 18:03:28.542    02 Oct 2031 20:46:31.758      9783.2156237    
03 Oct 2031 13:05:17.515    03 Oct 2031 15:03:11.156      7073.6404638    
03 Oct 2031 15:32:56.163    03 Oct 2031 18:38:04.566      11108.403103    
03 Oct 2031 19:07:50.541    03 Oct 2031 20:43:10.951      5720.4101680    
04 Oct 2031 13:02:29.321    04 Oct 2031 16:07:29.012      11099.691265    
04 Oct 2031 16:37:24.841    04 Oct 2031 19:42:22.882      11098.040436    
04 Oct 2031 20:12:19.906    04 Oct 2031 20:39:46.890      1646.9839743    
05 Oct 2031 12:58:40.961    05 Oct 2031 13:36:52.094      2291.1326084    
05 Oct 2031 14:06:57.409    05 Oct 2031 17:11:46.774      11089.365017    
05 Oct 2031 17:41:55.038    05 Oct 2031 20:36:20.564      10465.526294    
06 Oct 2031 12:55:24.686    06 Oct 2031 14:41:18.357      6353.6708236    
06 Oct 2031 15:11:44.842    06 Oct 2031 18:16:12.974      11068.131712    
06 Oct 2031 18:46:41.404    06 Oct 2031 20:33:00.747      6379.3433968    
07 Oct 2031 12:52:10.799    07 Oct 2031 15:45:40.806      10410.006864    
07 Oct 2031 16:16:23.352    07 Oct 2031 19:20:36.058      11052.705355    
07 Oct 2031 19:51:21.575    07 Oct 2031 20:29:39.622      2298.0474540    
08 Oct 2031 12:48:52.714    08 Oct 2031 13:15:10.253      1577.5384812    
08 Oct 2031 13:46:06.084    08 Oct 2031 16:50:04.370      11038.285462    
08 Oct 2031 17:21:01.475    08 Oct 2031 20:24:58.459      11036.983459    
09 Oct 2031 12:45:36.845    09 Oct 2031 14:19:31.415      5634.5694472    
09 Oct 2031 14:50:40.662    09 Oct 2031 17:54:26.201      11025.539026    
09 Oct 2031 18:25:37.427    09 Oct 2031 20:22:55.567      7038.1400617    
10 Oct 2031 12:42:24.961    10 Oct 2031 15:23:48.320      9683.3586964    
10 Oct 2031 15:55:02.068    10 Oct 2031 18:58:41.365      11019.296567    
10 Oct 2031 19:29:55.274    10 Oct 2031 20:19:37.300      2982.0263162    
11 Oct 2031 12:39:09.275    11 Oct 2031 12:53:09.195      839.91995640    
11 Oct 2031 13:24:28.059    11 Oct 2031 16:28:02.823      11014.763936    
11 Oct 2031 16:59:22.543    11 Oct 2031 20:02:56.266      11013.722668    
12 Oct 2031 12:35:53.841    12 Oct 2031 13:57:22.484      4888.6431975    
12 Oct 2031 14:28:46.795    12 Oct 2031 17:32:16.346      11009.550338    
12 Oct 2031 18:03:42.760    12 Oct 2031 20:12:55.446      7752.6862840    
13 Oct 2031 12:32:43.542    13 Oct 2031 15:01:44.001      8940.4590779    
13 Oct 2031 15:33:26.188    13 Oct 2031 18:36:38.200      10992.012805    
13 Oct 2031 19:08:22.049    13 Oct 2031 20:09:39.789      3677.7406809    
14 Oct 2031 12:29:30.293    14 Oct 2031 12:31:08.459      98.165822402    
14 Oct 2031 13:03:01.552    14 Oct 2031 16:06:03.038      10981.485512    
14 Oct 2031 16:37:58.898    14 Oct 2031 19:40:57.834      10978.935952    
